value,label
Innovation and Advanced Education (2013-2015),Innovation and Advanced Education (2013-2015)
Innovation and Science (1999-2006),Innovation and Science (1999-2006)
Intergovernmental and Aboriginal Affairs (1997-1999),Intergovernmental and Aboriginal Affairs (1997-1999)
"International, Intergovernmental and Aboriginal Relations (2006-2008, 2011-2012)","International, Intergovernmental and Aboriginal Relations (2006-2008, 2011-2012)"
"Jobs, Skills, Training and Labour (2013–2016)","Jobs, Skills, Training and Labour (2013–2016)"
Justice and Attorney General (1993-2011),Justice and Attorney General (1993-2011)
"Justice (1992-1993, 2011-2012)","Justice (1992-1993, 2011-2012)"
"Labour (1959-1972, 1975-1999)","Labour (1959-1972, 1975-1999)"
Lands and Forests (1949-1975),Lands and Forests (1949-1975)
Lands and Mines (1930-1949),Lands and Mines (1930-1949)
Learning (1999-2004),Learning (1999-2004)
Manpower and Labour (1972-1975),Manpower and Labour (1972-1975)
Manpower (1982-1986),Manpower (1982-1986)
Mines and Minerals (1949-1975),Mines and Minerals (1949-1975)
Municipal Affairs and Housing (2006-2008),Municipal Affairs and Housing (2006-2008)
Provincial Secretary (1905-1972),Provincial Secretary (1905-1972)
Public Health (1919-1967),Public Health (1919-1967)
Public Welfare (1944-1969),Public Welfare (1944-1969)
Public Works (1905-1975),Public Works (1905-1975)
"PublicWorks, Supply, and Services (1983-1999)","Public Works, Supply, and Services (1983-1999)"
Recreation and Parks (1979-1992),Recreation and Parks (1979-1992)
"Recreation, Parks, and Wildlife (1975-1979)","Recreation, Parks, and Wildlife (1975-1979)"
Resource Development (1999-2001),Resource Development (1999-2001)
Restructuring and Government Efficiency (2004-2006),Restructuring and Government Efficiency (2004-2006)
Revenue (2001-2004),Revenue (2001-2004)
"Seniors (2001–2004, 2011–2013, 2014–2016)","Seniors (2001–2004, 2011–2013, 2014–2016)"
Seniors and Community Supports (2004-2011),Seniors and Community Supports (2004-2011)
Social Development (1969-1971),Social Development (1969-1971)
Social Services and Community Health (1975-1986),Social Services and Community Health (1975-1986)
Social Services (1986-1989),Social Services (1986-1989)
Solicitor General (2004-2006),Solicitor General (2004-2006)
Solicitor General and Public Safety (2006-2008),Solicitor General and Public Safety (2006-2008)
"Solicitor General and Public Security (1973-1992, 2001-2006, 2008-2012)","Solicitor General and Public Security (1973-1992, 2001-2006, 2008-2012)"
"Sustainable Resource Development (2001-2006, 2006-2012)","Sustainable Resource Development (2001-2006, 2006-2012)"
Telephones and Utilities (1973-1975),Telephones and Utilities (1973-1975)
Tourism and Small Business (1979-1986),Tourism and Small Business (1979-1986)
Tourism (1986-1992),Tourism (1986-1992)
"Tourism, Parks, and Recreation (1992, 2008-2014)","Tourism, Parks, and Recreation (1992, 2008-2014)"
"Tourism, Parks, Recreation and Culture (2006-2008)","Tourism, Parks, Recreation and Culture (2006-2008)"
Trade and Industry (1934-1948),Trade and Industry (1934-1948)
Transportation and Utilities (1986-1999),Transportation and Utilities (1986-1999)
Treasury Board and Enterprise (2011-2012),Treasury Board and Enterprise (2011-2012)
"Treasury Board (2004-2011)","Treasury Board (2004-2011)"
Treasury (1905-2001),Treasury (1905-2001)
Utilities and Telecommunications (1983-1986),Utilities and Telecommunications (1983-1986)
Utilities and Telephones (1975-1983),Utilities and Telephones (1975-1983)
Utilities (1986),Utilities (1986)
