display_name,name,title,type
Advanced Education and Technology (2006-2013),advancededucationandtechnology2006-2013,Advanced Education and Technology (2006-2013),organization
"Advanced Education (1971-1975,1983-1992,2004-2006)",advancededucation1971-1975--1983-1992--2004-2006,"Advanced Education (1971-1975,1983-1992,2004-2006)",organization
Agriculture and Food (2006-2008),agricultureandfood2006-2008,Agriculture and Food (2006-2008),organization
Agriculture (1905-1992),agriculture1905-1992,Agriculture (1905-1992),organization
"Agriculture, Food, and Rural Development (1992-2006)",agriculturefoodandruraldevelopment1992-2006,"Agriculture, Food, and Rural Development (1992-2006)",organization
Attorney General (1905-1992),attorneygeneral1905-1992,Attorney General (1905-1992),organization
Business Development and Tourism (1975-1979),businessdevelopmentandtourism1975-1979,Business Development and Tourism (1975-1979),organization
Career Development and Employment (1986-1992),careerdevelopmentandemployment1986-1992,Career Development and Employment (1986-1992),organization
Children and Youth Services (2008-2011),childrenandyouthservices2008-2011,Children and Youth Services (2008-2011),organization
Children’s Services (1999-2008),childrensservices1999-2008,Children’s Services (1999-2008),organization
Community and Occupational Health (1986-1989),communityandoccupationalhealth1986-1989,Community and Occupational Health (1986-1989),organization
Community Development (1992-2006),communitydevelopment1992-2006,Community Development (1992-2006),organization
Consumer Affairs (1973-1975),consumeraffairs1973-1975,Consumer Affairs (1973-1975),organization
Consumer and Corporate Affairs (1975-1992),consumerandcorporateaffairs1975-1992,Consumer and Corporate Affairs (1975-1992),organization
Cultural Affairs (1975-1980),culturalaffairs1975-1980,Cultural Affairs (1975-1980),organization
Culture and Community Services (2011-2013),cultureandcommunityservices2011-2013,Culture and Community Services (2011-2013),organization
Culture and Community Spirit (2008-2011),cultureandcommunityspirit2008-2011,Culture and Community Spirit (2008-2011),organization
Culture and Multiculturalism (1987-1992),cultureandmulticulturalism1987-1992,Culture and Multiculturalism (1987-1992),organization
"Culture (1980-1987,2013-2014)",culture1980-1987--2013-2014,"Culture (1980-1987,2013-2014)",organization
"Culture, Youth, and Recreation (1971-1975)",cultureyouthandrecreation1971-1975,"Culture, Youth, and Recreation (1971-1975)",organization
Economic Development and Tourism (1992-1997),economicdevelopmentandtourism1992-1997,Economic Development and Tourism (1992-1997),organization
Economic Development and Trade (1986-1992),economicdevelopmentandtrade1986-1992,Economic Development and Trade (1986-1992),organization
"Economic Development (1979-1986,1997-2006)",economicdevelopment1979-1986--1997-2006,"Economic Development (1979-1986,1997-2006)",organization
Employment and Immigration (2008-2011),employmentandimmigration-2008-2011,Employment and Immigration (2008-2011),organization
"Employment, Immigration and Industry (2006-2008)",employmentimmigrationandindustry2006-2008,"Employment, Immigration and Industry (2006-2008)",organization
Energy and Natural Resources (1975-1986),energyandnaturalresources1975-1986,Energy and Natural Resources (1975-1986),organization
Environment and Water (2011-2013),environmentandwater2011-2013,Environment and Water (2011-2013),organization
"Environment (1971-1992,1999-2011)",environment1971-1992--1999-2011,"Environment (1971-1992,1999-2011)",organization
Environmental Protection (1992-1999),environmentalprotection1992-1999,Environmental Protection (1992-1999),organization
Enterprise and Advanced Education (2012-2013),enterpriseandadvancededucation2012-2013,Enterprise and Advanced Education (2012-2013),organization
Family and social Services (1989-1999),familyandsocialservices1989-1999,Family and social Services (1989-1999),organization
Federal and Intergovernmental Affairs (1971-1997),federalandintergovernmentalaffairs1971-1997,Federal and Intergovernmental Affairs (1971-1997),organization
Finance and Enterprise (2008-2011),financeandenterprise2008-2011,Finance and Enterprise (2008-2011),organization
"Finance (2001-2008,2011-2014)",finance2001-2008--2011-2014,"Finance (2001-2008,2011-2014)",organization
"Forestry, Lands, and Wildlife (1986-1993)",forestrylandsandwildlife1986-1993,"Forestry, Lands, and Wildlife (1986-1993)",organization
Gaming (1999-2006),gaming1999-2006,Gaming (1999-2006),organization
"Government Services (1975-1983,1999-2006)",governmentservices1975-1983--1999-2006,"Government Services (1975-1983,1999-2006)",organization
Health and Social Development (1971-1975),healthandsocialdevelopment1971-1975,Health and Social Development (1971-1975),organization
Health and Wellness (1999-2013),healthandwellness1999-2013,Health and Wellness (1999-2013),organization
Highways and Transport (1969-1975),highwaysandtransport1969-1975,Highways and Transport (1969-1975),organization
Highways (1951-1969),highways1951-1969,Highways (1951-1969),organization
Hospitals and Medical Care (1975-1988),hospitalsandmedicalcare1975-1988,Hospitals and Medical Care (1975-1988),organization
Housing and Public Works (1975-1983),housingandpublicworks1975-1983,Housing and Public Works (1975-1983),organization
Housing and Urban Affairs (2008-2011),housingandurbanaffairs2008-2011,Housing and Urban Affairs (2008-2011),organization
Housing (1983-1986),housing1983-1986,Housing (1983-1986),organization
Human Resources and Employment (1999-2006),humanresourcesandemployment1999-2006,Human Resources and Employment (1999-2006),organization
Industries and Labour (1948-1959),industriesandlabour1948-1959,Industries and Labour (1948-1959),organization
Industry and Commerce (1972-1975),industryandcommerce1972-1975,Industry and Commerce (1972-1975),organization
Industry and Development (1959-1968),industryanddevelopment1959-1968,Industry and Development (1959-1968),organization
Industry and Tourism (1968-1972),industryandtourism1968-1972,Industry and Tourism (1968-1972),organization
Infrastructure and Transportation (2004-2008),infrastructureandtransportation2004-2008,Infrastructure and Transportation (2004-2008),organization
Innovation and Advanced Education (2013-2015),innovationandadvancededucation2013-2015,Innovation and Advanced Education (2013-2015),organization
Innovation and Science (1999-2006),innovationandscience1999-2006,Innovation and Science (1999-2006),organization
Intergovernmental and Aboriginal Affairs (1997-1999),intergovernmentalandaboriginalaffairs1997-1999,Intergovernmental and Aboriginal Affairs (1997-1999),organization
"International, Intergovernmental and Aboriginal Relations (2006-2008,2011-2013)",internationalintergovernmentalandaboriginalrelations2006-2008--2011-2013,"International, Intergovernmental and Aboriginal Relations (2006-2008,2011-2013)",organization
"Jobs, Skills, Training and Labour (2013-2016)",jobsskillstrainingandlabour2013-2016,"Jobs, Skills, Training and Labour (2013-2016)",organization
Justice and Attorney General (1993-2011),justiceandattorneygeneral1993-2011,Justice and Attorney General (1993-2011),organization
"Justice (1992-1993,2011-2013)",justice1992-1993--2011-2013,"Justice (1992-1993,2011-2013)",organization
"Labour (1959-1972,1975-1999)",labour1959-1972--1975-1999,"Labour (1959-1972,1975-1999)",organization
Lands and Forests (1949-1975),landsandforests1949-1975,Lands and Forests (1949-1975),organization
Lands and Mines (1930-1949),landsandmines1930-1949,Lands and Mines (1930-1949),organization
Learning (1999-2004),learning1999-2004,Learning (1999-2004),organization
Manpower and Labour (1972-1975),manpowerandlabour1972-1975,Manpower and Labour (1972-1975),organization
Manpower (1982-1986),manpower1982-1986,Manpower (1982-1986),organization
Mines and Minerals (1949-1975),minesandminerals1949-1975,Mines and Minerals (1949-1975),organization
Municipal Affairs and Housing (2006-2008),municipalaffairsandhousing2006-2008,Municipal Affairs and Housing (2006-2008),organization
Provincial Secretary (1905-1972),provincialsecretary1905-1972,Provincial Secretary (1905-1972),organization
Public Health (1919-1967),publichealth1919-1967,Public Health (1919-1967),organization
Public Welfare (1944-1969),publicwelfare1944-1969,Public Welfare (1944-1969),organization
Public Works (1905-1975),publicworks1905-1975,Public Works (1905-1975),organization
"Public Works,Supply, and Services (1983-1999)",publicworkssupplyandservices1983-1999,"Public Works, Supply, and Services (1983-1999)",organization
Recreation and Parks (1979-1992),recreationandparks1979-1992,Recreation and Parks (1979-1992),organization
"Recreation, Parks, and Wildlife (1975-1979)",recreationparksandwildlife1975-1979,"Recreation, Parks, and Wildlife (1975-1979)",organization
Resource Development (1999-2001),resourcedevelopment1999-2001,Resource Development (1999-2001),organization
Restructuring and Government Efficiency (2004-2006),restructuringandgovernmentefficiency2004-2006,Restructuring and Government Efficiency (2004-2006),organization
Revenue (2001-2004),revenue2001-2004,Revenue (2001-2004),organization
Status of Women,statusofwomen,Status of Women,organization
"Seniors (2001–2004, 2011–2013, 2014–2016)",seniors2001–2004--2011–2013--2014–2016,"Seniors (2001–2004, 2011–2013, 2014–2016)",organization
Seniors and Community Supports (2004-2011),seniorsandcommunitysupports2004-2011,Seniors and Community Supports (2004-2011),organization
Social Development (1969-1971),socialdevelopment1969-1971,Social Development (1969-1971),organization
Social Services and Community Health (1975-1986),socialservicesandcommunityhealth1975-1986,Social Services and Community Health (1975-1986),organization
Social Services (1986-1989),socialservices1986-1989,Social Services (1986-1989),organization
Solicitor General and  Public Safety (2006-2008),solicitorgeneralandpublicsafety2006-2008,Solicitor General and  Public Safety (2006-2008),organization
"Solicitor General and Public Security (1973-1992,2001-2006,2008-2013)",solicitorgeneralandpublicsecurity1973-1992--2001-2006--2008-2013,"Solicitor General and Public Security (1973-1992,2001-2006,2008-2013)",organization
"Sustainable Resource Development (2001-2006,2006-2013)",sustainableresourcedevelopment2001-2006--2006-2013,"Sustainable Resource Development (2001-2006,2006-2013)",organization
Telephones and Utilities (1973-1975),telephonesandutilities1973-1975,Telephones and Utilities (1973-1975),organization
Tourism and Small Business (1979-1986),tourismandsmallbusiness1979-1986,Tourism and Small Business (1979-1986),organization
Tourism (1986-1992),tourism1986-1992,Tourism (1986-1992),organization
"Tourism, Parks, and Recreation (1992,2008-2014)",tourismparksandrecreation1992--2008-2014,"Tourism, Parks, and Recreation (1992,2008-2014)",organization
"Tourism, Parks, Recreation and Culture (2006-2008)",tourismparksrecreationandculture2006-2008,"Tourism, Parks, Recreation and Culture (2006-2008)",organization
Trade and Industry (1934-1948),tradeandindustry1934-1948,Trade and Industry (1934-1948),organization
Transportation and Utilities (1986-1999),transportationandutilities1986-1999,Transportation and Utilities (1986-1999),organization
Treasury Board and Enterprise (2011-2013),treasuryboardandenterprise2011-2013,Treasury Board and Enterprise (2011-2013),organization
"Treasury Board (2004-2006,2008-2011,2013-2014)",treasuryboard2004-2006--2008-2011--2013-2014,"Treasury Board (2004-2006,2008-2011,2013-2014)",organization
Treasury (1905-2001),treasury1905-2001,Treasury (1905-2001),organization
Utilities and Telecommunications (1983-1986),utilitiesandtelecommunications1983-1986,Utilities and Telecommunications (1983-1986),organization
Utilities and Telephones (1975-1983),utilitiesandtelephones1975-1983,Utilities and Telephones (1975-1983),organization
Utilities (1986),utilities1986,Utilities (1986),organization
Queen’s Printer,queensprinter,Queen's Printer,organization
